,picture,href,sex,category
1,https://images.k2korea.co.kr/dynafit/YMU20104Z1/YMU20104Z1_LI_01.JPG,https://www.dynafit.co.kr/dynafit/ko/p/YMU20104Z1,남,상
2,https://images.k2korea.co.kr/dynafit/YMU20308Z1/YMU20308Z1_LI_01.JPG,https://www.dynafit.co.kr/dynafit/ko/p/YMU20308Z1,남,하
3,https://images.k2korea.co.kr/dynafit/YMU20301Z1/YMU20301Z1_LI_01.JPG,https://www.dynafit.co.kr/dynafit/ko/p/YMU20301Z1,남,하
4,https://images.k2korea.co.kr/dynafit/YMU20108K7/YMU20108K7_LI_01.JPG,https://www.dynafit.co.kr/dynafit/ko/p/YMU20108K7,남,상
5,https://images.k2korea.co.kr/dynafit/YMU20101Z1/YMU20101Z1_LI_01.JPG,https://www.dynafit.co.kr/dynafit/ko/p/YMU20101Z1,남,상
6,https://images.k2korea.co.kr/dynafit/YMW20310Z1/YMW20310Z1_LI_01.JPG,https://www.dynafit.co.kr/dynafit/ko/p/YMW20310Z1,남,하
7,https://images.k2korea.co.kr/dynafit/YMU20109Z1/YMU20109Z1_LI_01.JPG,https://www.dynafit.co.kr/dynafit/ko/p/YMU20109Z1,남,상
8,https://images.k2korea.co.kr/dynafit/YMU20309Z1/YMU20309Z1_LI_01.JPG,https://www.dynafit.co.kr/dynafit/ko/p/YMU20309Z1,남,하
9,https://images.k2korea.co.kr/dynafit/YMW20110W2/YMW20110W2_LI_01.JPG,https://www.dynafit.co.kr/dynafit/ko/p/YMW20110W2,남,상
10,https://images.k2korea.co.kr/dynafit/YMU20304Z1/YMU20304Z1_LI_01.JPG,https://www.dynafit.co.kr/dynafit/ko/p/YMU20304Z1,남,하
11,https://images.k2korea.co.kr/dynafit/YMU20309Z1/YMU20309Z1_LI_01.JPG,https://www.dynafit.co.kr/dynafit/ko/p/YMU20309Z1,남,하
12,https://images.k2korea.co.kr/dynafit/YUU20105E2/YUU20105E2_LI_01.JPG,https://www.dynafit.co.kr/dynafit/ko/p/YUU20105E2,남,상
13,https://images.k2korea.co.kr/dynafit/YMU20307Z1/YMU20307Z1_LI_01.JPG,https://www.dynafit.co.kr/dynafit/ko/p/YMU20307Z1,남,하
14,https://images.k2korea.co.kr/dynafit/YMU20302Z1/YMU20302Z1_LI_01.JPG,https://www.dynafit.co.kr/dynafit/ko/p/YMU20302Z1,남,하
15,https://images.k2korea.co.kr/dynafit/YMU20107B9/YMU20107B9_LI_01.JPG,https://www.dynafit.co.kr/dynafit/ko/p/YMU20107B9,남,상
16,https://images.k2korea.co.kr/dynafit/YMU20102C1/YMU20102C1_LI_01.JPG,https://www.dynafit.co.kr/dynafit/ko/p/YMU20102C1,남,상
17,https://images.k2korea.co.kr/dynafit/YMU20303V8/YMU20303V8_LI_01.JPG,https://www.dynafit.co.kr/dynafit/ko/p/YMU20303V8,남,하
18,https://images.k2korea.co.kr/dynafit/YMU20103W2/YMU20103W2_LI_01.JPG,https://www.dynafit.co.kr/dynafit/ko/p/YMU20103W2,남,상
19,https://images.k2korea.co.kr/dynafit/YMP20301Z1/YMP20301Z1_LI_01.JPG,https://www.dynafit.co.kr/dynafit/ko/p/YMP20301Z1,남,하
20,https://images.k2korea.co.kr/dynafit/YMP20101R2/YMP20101R2_LI_01.JPG,https://www.dynafit.co.kr/dynafit/ko/p/YMP20101R2,남,상
21,https://images.k2korea.co.kr/dynafit/YMP20102Z1/YMP20102Z1_LI_01.JPG,https://www.dynafit.co.kr/dynafit/ko/p/YMP20102Z1,남,상
22,https://images.k2korea.co.kr/dynafit/YMP20302Z1/YMP20302Z1_LI_01.JPG,https://www.dynafit.co.kr/dynafit/ko/p/YMP20302Z1,남,하
23,https://images.k2korea.co.kr/dynafit/YUU20221V8/YUU20221V8_LI_01.JPG,https://www.dynafit.co.kr/dynafit/ko/p/YUU20221V8,남,상
24,https://images.k2korea.co.kr/dynafit/YMU20216W5/YMU20216W5_LI_01.JPG,https://www.dynafit.co.kr/dynafit/ko/p/YMU20216W5,남,상
25,https://images.k2korea.co.kr/dynafit/YUU20250W5/YUU20250W5_LI_01.JPG,https://www.dynafit.co.kr/dynafit/ko/p/YUU20250W5,남,상
26,https://images.k2korea.co.kr/dynafit/YUW20240V8/YUW20240V8_LI_01.JPG,https://www.dynafit.co.kr/dynafit/ko/p/YUW20240V8,남,상
27,https://images.k2korea.co.kr/dynafit/YMU20223W2/YMU20223W2_LI_01.JPG,https://www.dynafit.co.kr/dynafit/ko/p/YMU20223W2,남,상
28,https://images.k2korea.co.kr/dynafit/YUW20239W5/YUW20239W5_LI_01.JPG,https://www.dynafit.co.kr/dynafit/ko/p/YUW20239W5,남,상
29,https://images.k2korea.co.kr/dynafit/YUU20229N6/YUU20229N6_LI_01.JPG,https://www.dynafit.co.kr/dynafit/ko/p/YUU20229N6,남,상
30,https://images.k2korea.co.kr/dynafit/YMW20244Z1/YMW20244Z1_LI_01.JPG,https://www.dynafit.co.kr/dynafit/ko/p/YMW20244Z1,남,상
31,https://images.k2korea.co.kr/dynafit/YMU20251K7/YMU20251K7_LI_01.JPG,https://www.dynafit.co.kr/dynafit/ko/p/YMU20251K7,남,상
32,https://images.k2korea.co.kr/dynafit/YMW20238C7/YMW20238C7_LI_01.JPG,https://www.dynafit.co.kr/dynafit/ko/p/YMW20238C7,남,상
33,https://images.k2korea.co.kr/dynafit/YMW20219K7/YMW20219K7_LI_01.JPG,https://www.dynafit.co.kr/dynafit/ko/p/YMW20219K7,남,상
34,https://images.k2korea.co.kr/dynafit/YMU20224N9/YMU20224N9_LI_01.JPG,https://www.dynafit.co.kr/dynafit/ko/p/YMU20224N9,남,상
35,https://images.k2korea.co.kr/dynafit/YMU20214B9/YMU20214B9_LI_01.JPG,https://www.dynafit.co.kr/dynafit/ko/p/YMU20214B9,남,상
36,https://images.k2korea.co.kr/dynafit/YMU20211C1/YMU20211C1_LI_01.JPG,https://www.dynafit.co.kr/dynafit/ko/p/YMU20211C1,남,상
37,https://images.k2korea.co.kr/dynafit/YMU20213W2/YMU20213W2_LI_01.JPG,https://www.dynafit.co.kr/dynafit/ko/p/YMU20213W2,남,상
