,picture,href,sex,category
1,http://loveyourbody.co.kr/web/product/extra/small/202008/e18cf1a127ac919c7df7cb6080a73104.jpg,https://loveyourbody.co.kr/product/8%EB%B6%80-lyb-230-%EC%98%A4%EB%A6%AC%EC%A7%80%EB%84%90-%ED%95%8F-%EB%A0%88%EA%B9%85%EC%8A%A4/83/category/25/display/1/,여,하
2,http://loveyourbody.co.kr/web/product/extra/small/202008/3bea8d702d0429d69776d211724230c4.jpg,https://loveyourbody.co.kr/product/8%EB%B6%80-lyb-190-%EC%86%8C%ED%94%84%ED%8A%B8-%ED%84%B0%EC%B9%98-%EB%A0%88%EA%B9%85%EC%8A%A4/82/category/25/display/1/,여,하
3,http://loveyourbody.co.kr/web/product/medium/202008/dd1615e4287cbd29eba16509bc7cffdb.jpg,https://loveyourbody.co.kr/product/5%EB%B6%80-%EB%B0%94%EC%9D%B4%EC%BB%A4%EC%87%BC%EC%B8%A0/79/category/25/display/1/,여,하
4,http://loveyourbody.co.kr/web/product/extra/small/202007/b19d26c443c1b6f8e70dc4ae19fc1aa7.jpg,https://loveyourbody.co.kr/product/lyb-190-%EC%86%8C%ED%94%84%ED%8A%B8-%ED%84%B0%EC%B9%98-%EB%A0%88%EA%B9%85%EC%8A%A4-9%EB%B6%80-%EC%B9%B4%ED%82%A4%EB%B2%A0%EC%9D%B4%EC%A7%80/77/category/25/display/1/,여,하
5,http://loveyourbody.co.kr/web/product/extra/small/202007/84735078c0be7cea2b0b1f668cb902b4.jpg,https://loveyourbody.co.kr/product/lyb-190-%EC%86%8C%ED%94%84%ED%8A%B8-%ED%84%B0%EC%B9%98-%EB%A0%88%EA%B9%85%EC%8A%A4-9%EB%B6%80-%EB%B2%84%EA%B1%B4%EB%94%94/76/category/25/display/1/,여,하
6,http://loveyourbody.co.kr/web/product/extra/small/202007/15b0b80029b8941fb6e18a07e1d65f4c.jpg,https://loveyourbody.co.kr/product/lyb-190-%EC%86%8C%ED%94%84%ED%8A%B8-%ED%84%B0%EC%B9%98-%EB%A0%88%EA%B9%85%EC%8A%A4-9%EB%B6%80-%EB%8D%94%EC%8A%A4%ED%8A%B8%ED%95%91%ED%81%AC/75/category/25/display/1/,여,하
7,http://loveyourbody.co.kr/web/product/medium/202007/f5a0f4fd78b080de4cf2d7e3103073c0.jpg,https://loveyourbody.co.kr/product/lyb-190-%EC%86%8C%ED%94%84%ED%8A%B8-%ED%84%B0%EC%B9%98-%EB%A0%88%EA%B9%85%EC%8A%A4-9%EB%B6%80-%EC%B0%A8%EC%BD%9C%EA%B7%B8%EB%A0%88%EC%9D%B4/74/category/25/display/1/,여,하
8,http://loveyourbody.co.kr/web/product/extra/small/202007/247eeb1e610cbf7d83ee34c37cdeced3.jpg,https://loveyourbody.co.kr/product/lyb-190-%EC%86%8C%ED%94%84%ED%8A%B8-%ED%84%B0%EC%B9%98-%EB%A0%88%EA%B9%85%EC%8A%A4-9%EB%B6%80-%EB%B8%94%EB%9E%99/73/category/25/display/1/,여,하
9,http://loveyourbody.co.kr/web/product/extra/small/20200413/b50dd5fba9c0e7e1fe9e3fde53bf7219.png,https://loveyourbody.co.kr/product/lyb-230-%EC%98%A4%EB%A6%AC%EC%A7%80%EB%84%90%ED%95%8F-%EB%A0%88%EA%B9%85%EC%8A%A4-%ED%95%AB-%ED%95%91%ED%81%AC/44/category/25/display/1/,여,하
10,http://loveyourbody.co.kr/web/product/extra/small/20200413/469f36840a84550501ff3f72b0ab66e0.png,https://loveyourbody.co.kr/product/lyb-230-%EB%B2%A0%EC%9D%B4%EC%98%A4%EB%A6%AC%EC%A7%80%EB%84%90-%ED%95%8F-%EB%A0%88%EA%B9%85%EC%8A%A4-%ED%8E%98%EC%9D%BC%ED%95%91%ED%81%AC/43/category/25/display/1/,여,하
