,0,1,2,3,4
0,mpg,http://www.mpgsport.co.kr/product/mpg투인원-스타일-치마-레깅스blackmklslbca03/1629/category/246/display/1/,[MPG]투인원 스타일 치마 레깅스_BLACK(MKLSLBCA03),"79,000",https://www.mpgsport.co.kr/web/product/big/20200521/38b5c428283a8e799e7187a58aa2191e.jpg
0,mpg,http://www.mpgsport.co.kr/product/mpg지퍼-디테일-포인트-8부-조거-팬츠charcoalmklslbca30/1628/category/246/display/1/,[MPG]지퍼 디테일 포인트 8부 조거 팬츠_CHARCOAL(MKLSLBCA30),"79,000",https://www.mpgsport.co.kr/web/product/big/20200521/d07d11ca616fe847a4aac3bc1fdc336c.jpg
0,mpg,http://www.mpgsport.co.kr/product/mpg로고-포인트-경량-7부-카프리charcoalmklslbca23/1627/category/246/display/1/,[MPG]로고 포인트 경량 7부 카프리_CHARCOAL(MKLSLBCA23),"69,000",https://www.mpgsport.co.kr/web/product/big/20200521/72f62790ee9f051a0408ac3425096edc.jpg
0,mpg,http://www.mpgsport.co.kr/product/mpg로고-포인트-경량-7부-카프리blackmklslbca23/1626/category/246/display/1/,[MPG]로고 포인트 경량 7부 카프리_BLACK(MKLSLBCA23),"69,000",https://www.mpgsport.co.kr/web/product/big/20200521/ce3f5dca0c275958217a32581931b607.jpg
0,mpg,http://www.mpgsport.co.kr/product/mpg베이직-하이웨이스트-롱-레깅스blackmmlslblg02/1625/category/246/display/1/,[MPG]베이직 하이웨이스트 롱 레깅스_BLACK(MMLSLBLG02),"79,000",https://www.mpgsport.co.kr/web/product/big/20200521/fd86325b0c202ab05f015ad4b6b590f8.jpg
0,mpg,http://www.mpgsport.co.kr/product/mpg라인-메시-포인트-롱-레깅스poseidonmklslblg21a/1624/category/246/display/1/,[MPG]라인 메시 포인트 롱 레깅스_POSEIDON(MKLSLBLG21A),"75,000",https://www.mpgsport.co.kr/web/product/big/20200521/efe0dcecbb8fcee4b5305c360bd5f817.jpg
0,mpg,http://www.mpgsport.co.kr/product/mpg라인-메시-포인트-롱-레깅스charcoalmklslblg21a/1623/category/246/display/1/,[MPG]라인 메시 포인트 롱 레깅스_CHARCOAL(MKLSLBLG21A),"75,000",https://www.mpgsport.co.kr/web/product/big/20200521/d1336e922b4ef373aaaad8d664b7e93b.jpg
0,mpg,http://www.mpgsport.co.kr/product/mpg라인-메시-포인트-롱-레깅스blackmklslblg21a/1622/category/246/display/1/,[MPG]라인 메시 포인트 롱 레깅스_BLACK(MKLSLBLG21A),"75,000",https://www.mpgsport.co.kr/web/product/big/20200521/9659faecdcc3b9499a7f8b4deaa353fa.jpg
0,mpg,http://www.mpgsport.co.kr/product/mpg엠피지라인-메쉬-포인트-롱-레깅스greymclslblg21/1611/category/246/display/1/,[MPG_엠피지]라인 메쉬 포인트 롱 레깅스_GREY(MCLSLBLG21),"KRW 75,000",https://www.mpgsport.co.kr/web/product/big/20200521/9b1493edff1037ffdab66a0cd43fbf96.jpg
0,mpg,http://www.mpgsport.co.kr/product/mpg벨벳-슬림핏-롱팬츠greymkkflblp20/1607/category/246/display/1/,[MPG]벨벳 슬림핏 롱팬츠_GREY(MKKFLBLP20),"KRW 99,000",https://www.mpgsport.co.kr/web/product/big/20200521/89f37835fbd1f9dabdc406b66b14ff79.jpg
